1.093520447611808777e-01 2.311029672622680664e+00 1.009615287184715271e-01 2.301924228668212891e+00 1.415058732032775879e+01
1.088616773486137390e-01 2.312561273574829102e+00 1.134815812110900879e-01 2.301456928253173828e+00 2.737095117568969727e+00
1.255341917276382446e-01 2.311741352081298828e+00 1.134815812110900879e-01 2.302606344223022461e+00 2.511488199234008789e+00
1.137653589248657227e-01 2.310809135437011719e+00 1.134815812110900879e-01 2.302018404006958008e+00 2.478829383850097656e+00
1.024868935346603394e-01 2.312043428421020508e+00 1.134815812110900879e-01 2.301486968994140625e+00 2.584611892700195312e+00
1.103327795863151550e-01 2.310468435287475586e+00 1.028645932674407959e-01 2.302704334259033203e+00 2.795677900314331055e+00
1.245534494519233704e-01 2.309098958969116211e+00 1.134815812110900879e-01 2.301624298095703125e+00 2.778876304626464844e+00
1.083713099360466003e-01 2.313416242599487305e+00 1.134815812110900879e-01 2.301714658737182617e+00 2.472561120986938477e+00
1.029772609472274780e-01 2.315531730651855469e+00 1.134815812110900879e-01 2.302294015884399414e+00 2.524077892303466797e+00
9.120843559503555298e-02 2.312609195709228516e+00 1.134815812110900879e-01 2.302305698394775391e+00 2.537720441818237305e+00
1.098424121737480164e-01 2.312158584594726562e+00 9.575320035219192505e-02 2.302747488021850586e+00 2.646718025207519531e+00
1.137653589248657227e-01 2.309743881225585938e+00 1.134815812110900879e-01 2.301533699035644531e+00 2.696681261062622070e+00
1.054291054606437683e-01 2.314721345901489258e+00 1.134815812110900879e-01 2.301696062088012695e+00 2.468544244766235352e+00
1.152364611625671387e-01 2.311527967453002930e+00 1.134815812110900879e-01 2.301414012908935547e+00 2.643525600433349609e+00
1.098424121737480164e-01 2.314076662063598633e+00 1.134815812110900879e-01 2.301779270172119141e+00 2.499258279800415039e+00
1.078809425234794617e-01 2.311931133270263672e+00 1.134815812110900879e-01 2.302803039550781250e+00 2.446234226226806641e+00
